Scheduler,Avg Wait (ms),Max Wait (ms),Avg Exec (ms),Avg Turnaround (ms),Makespan (ms),Throughput (gates/s),GPU Util (%),circuit,batch,Jain's,Avg Slowdown,Max Slowdown,Wtd Slowdown
fanin_priority (batch blocking),7.7265,156.9012,0.0231,7.7497,175.2857,10130.2754,0.7725,imbalanced_4,32,0.9907,361.8352,7447.4062,482.3105
DependencyAware (batch blocking),22.7871,164.1868,0.0255,22.8125,233.1281,7605.6851,0.6096,imbalanced_4,32,0.9995,986.8055,8516.5488,1504.3541
SJF (batch blocking),9.7434,136.4311,0.0242,9.7676,176.9428,10029.7275,0.7997,imbalanced_4,32,0.8877,433.3235,6564.2368,937.8101
FIFO (single-gate non-blocking),11.9054,25.2283,0.1638,12.0692,184.5353,9649.7832,76.3887,imbalanced_4,32,0.8905,209.2071,1408.2942,376.2814
fanin_priority (single-gate non-blocking),6.5586,130.0223,0.1617,6.7202,182.7241,9700.0049,76.2874,imbalanced_4,32,0.9153,52.287,7425.7749,60.8888
DependencyAware (single-gate non-blocking),24.1744,203.8221,0.2141,24.3885,243.7218,7246.7266,75.9324,imbalanced_4,32,0.9997,127.8949,2376.4668,185.6292
SJF (single-gate non-blocking),9.887,155.4533,0.1678,10.0548,189.7367,9417.0596,76.3504,imbalanced_4,32,0.9425,122.3415,6321.6899,231.9557
FIFO (batch non-blocking),7.9768,25.4785,3.45,11.4269,178.6095,9945.4785,73.0425,imbalanced_4,32,0.8893,72.0427,386.2653,134.9395
fanin_priority (batch non-blocking),7.1019,53.063,3.4677,10.5696,182.5987,9883.8936,71.414,imbalanced_4,32,0.9454,32.591,217.6526,73.7486
DependencyAware (batch non-blocking),13.2773,87.8495,4.832,18.1093,210.6249,8515.0996,76.1733,imbalanced_4,32,0.9734,8.322,62.7033,16.1329
SJF (batch non-blocking),7.3616,77.2806,3.2846,10.6462,169.7892,10404.7871,67.9837,imbalanced_4,32,0.9056,32.3246,230.9001,53.3889
level-level task execution,0.0419,0.0539,0.0183,0.0603,0.3765,4699614,68.1803,imbalanced_4,32,0.9666,3.4752,4.5968,6.2869
FIFO (batch blocking),8.6432,24.8773,0.0308,8.674,151.847,10698.0449,0.5155,imbalanced_3,128,0.9988,278.2835,834.9128,569.4031
fanin_priority (batch blocking),9.0093,37.0435,0.0309,9.0402,153.7856,10573.1895,0.5171,imbalanced_3,128,0.9989,287.6641,1168.6145,557.9238
DependencyAware (batch blocking),12.9627,42.2946,0.0322,12.9948,176.9433,9195.8857,0.4706,imbalanced_3,128,0.999,390.4041,1262.2231,755.9166
SJF (batch blocking),9.5899,49.1959,0.0339,9.6238,156.0098,10439.6973,0.5374,imbalanced_3,128,0.9993,281.611,1421.4738,586.933
FIFO (single-gate non-blocking),10.2483,24.2007,0.1597,10.408,165.0583,9876.2402,76.4232,imbalanced_3,128,0.9988,178.8056,1344.6404,341.8296
fanin_priority (single-gate non-blocking),6.8222,156.5213,0.1583,6.9805,164.0298,9920.3164,76.3663,imbalanced_3,128,0.9955,53.6294,6640.9805,64.0012
DependencyAware (single-gate non-blocking),26.7777,183.8642,0.2175,26.9952,226.3787,7228.3799,76.0256,imbalanced_3,128,1,138.7001,2147.0767,237.0395
SJF (single-gate non-blocking),9.2713,116.2512,0.1594,9.4307,164.7001,9911.1113,76.4038,imbalanced_3,128,0.9999,106.2641,5050.8647,218.3073
FIFO (batch non-blocking),7.9224,22.9997,1.5213,9.4436,155.9646,10527.9971,32.4319,imbalanced_3,128,0.9987,172.6309,453.6752,370.9241
fanin_priority (batch non-blocking),7.9907,23.0523,1.5132,9.5039,156.2569,10395.2051,32.5564,imbalanced_3,128,0.9987,97.03,214.8688,211.291
DependencyAware (batch non-blocking),8.9076,23.3612,2.971,11.8786,176.0077,9298.8809,40.1251,imbalanced_3,128,0.999,12.8724,51.8354,27.6401
SJF (batch non-blocking),7.8679,23.9203,1.5339,9.4017,153.9525,10541.502,32.6072,imbalanced_3,128,0.9987,97.1975,220.4398,205.464
level-level task execution,0.0379,0.0565,0.0243,0.0622,0.423,3869881.5,69.7739,imbalanced_3,128,0.9967,2.9631,4.6151,6.0083
