Scheduler,Avg Wait (ms),Max Wait (ms),Avg Exec (ms),Avg Turnaround (ms),Makespan (ms),Throughput (gates/s),GPU Util (%),circuit,batch,Jain's,Avg Slowdown,Max Slowdown,Wtd Slowdown
SJF (batch blocking),0.269,0.5541,0.0175,0.2866,3.5221,70769.25,6.8571,c499,512,,,,
FIFO (single-gate non-blocking),0.3722,0.7293,0.0315,0.4038,4.4822,55594.5117,81.4361,c499,512,,,,
fanin_priority (single-gate non-blocking),0.2926,2.0143,0.032,0.3247,4.6153,53997.4062,80.8917,c499,512,,,,
DependencyAware (single-gate non-blocking),0.5092,1.0838,0.038,0.5472,5.5561,44827.2969,79.845,c499,512,,,,
SJF (single-gate non-blocking),0.2401,1.7327,0.0318,0.2719,4.596,54242.668,80.9842,c499,512,,,,
FIFO (batch non-blocking),0.2559,0.5484,0.0208,0.2767,3.4402,72476.25,8.1555,c499,512,,,,
fanin_priority (batch non-blocking),0.2509,0.51,0.0262,0.2771,3.443,72339.1953,9.3892,c499,512,,,,
DependencyAware (batch non-blocking),0.2534,0.5301,0.1137,0.3671,4.1271,60430.6016,23.2585,c499,512,,,,
SJF (batch non-blocking),0.2518,0.5103,0.0254,0.2772,3.4545,72097.3672,9.113,c499,512,,,,
level-level task execution,0.0093,0.0147,0.016,0.0252,0.1827,1378327.875,62.6227,c499,512,,,,
FIFO (batch blocking),0.2235,0.5525,0.0163,0.2398,4.8407,58102.3359,6.9943,c1908,32,,,,
fanin_priority (batch blocking),0.2306,0.5581,0.0159,0.2465,4.98,56495.0547,6.7604,c1908,32,,,,
DependencyAware (batch blocking),0.2556,0.6939,0.0158,0.2714,5.2603,53387.5312,6.2472,c1908,32,,,,
SJF (batch blocking),0.2301,0.5668,0.0161,0.2463,4.9641,56622.5117,6.7972,c1908,32,,,,
FIFO (single-gate non-blocking),0.2848,0.7169,0.0375,0.3222,6.0283,46608.9062,81.0162,c1908,32,,,,
fanin_priority (single-gate non-blocking),0.1941,2.2771,0.0367,0.2308,6.11,45995.5117,79.718,c1908,32,,,,
DependencyAware (single-gate non-blocking),0.4328,1.7227,0.042,0.4749,7.0197,40023.375,79.3949,c1908,32,,,,
SJF (single-gate non-blocking),0.2424,2.0619,0.0373,0.2797,6.1932,45397.9609,79.7052,c1908,32,,,,
FIFO (batch non-blocking),0.2172,0.5373,0.0213,0.2385,4.8421,58060.6562,18.7023,c1908,32,,,,
fanin_priority (batch non-blocking),0.2236,0.5448,0.026,0.2496,5.0902,55433.5625,19.6533,c1908,32,,,,
DependencyAware (batch non-blocking),0.2177,0.5556,0.0595,0.2772,5.3586,52574.1641,26.9743,c1908,32,,,,
SJF (batch non-blocking),0.2203,0.5397,0.024,0.2443,4.9417,56951.5,19.2377,c1908,32,,,,
level-level task execution,0.0101,0.0156,0.0163,0.0263,0.1878,1549721.625,62.8246,c1908,32,,,,
FIFO (batch blocking),0.1268,0.4523,0.0197,0.1464,2.8267,62625.7891,15.4926,c432,32,,,,
fanin_priority (batch blocking),0.1403,0.4802,0.0197,0.16,2.8903,61280.4258,14.3784,c432,32,,,,
DependencyAware (batch blocking),0.1908,0.702,0.023,0.2138,3.4011,52682.6055,14.9687,c432,32,,,,
SJF (batch blocking),0.1566,0.6633,0.0197,0.1763,3.309,57428.3125,13.7488,c432,32,,,,
FIFO (single-gate non-blocking),0.2871,1.1928,0.0403,0.3274,4.4626,41589.2148,78.3763,c432,32,,,,
fanin_priority (single-gate non-blocking),0.2699,1.5565,0.0481,0.3181,4.3922,41974.8711,81.4932,c432,32,,,,
DependencyAware (single-gate non-blocking),0.4384,1.7408,0.0573,0.4956,5.4623,36230.5391,81.9139,c432,32,,,,
SJF (single-gate non-blocking),0.2459,1.1986,0.0389,0.2847,4.0233,44101.1367,80.1158,c432,32,,,,
FIFO (batch non-blocking),0.1186,0.4759,0.0346,0.1532,2.8791,61538.2578,31.5033,c432,32,,,,
fanin_priority (batch non-blocking),0.1262,0.4893,0.0396,0.1658,2.9673,59763.3359,32.6729,c432,32,,,,
DependencyAware (batch non-blocking),0.1239,0.4805,0.089,0.2129,3.297,53715.0859,40.7276,c432,32,,,,
SJF (batch non-blocking),0.1239,0.4841,0.0387,0.1626,2.9052,60967.9258,32.8051,c432,32,,,,
level-level task execution,0.0119,0.0155,0.0192,0.0312,0.2536,698717.8125,60.2196,c432,32,,,,
FIFO (batch blocking),0.238,0.8392,0.0162,0.2542,3.4942,72436.8047,7.2035,c1355,32,,,,
fanin_priority (batch blocking),0.2507,0.8951,0.0165,0.2672,3.6042,70233.2656,7.106,c1355,32,,,,
DependencyAware (batch blocking),0.3364,1.0392,0.0161,0.3524,4.1989,60322.9805,6.0487,c1355,32,,,,
SJF (batch blocking),0.2479,0.8541,0.0157,0.2636,3.5829,70640.9375,6.9633,c1355,32,,,,
FIFO (single-gate non-blocking),0.3832,0.777,0.0336,0.4168,4.812,53049.7891,81.638,c1355,32,,,,
fanin_priority (single-gate non-blocking),0.2879,2.1326,0.0339,0.3218,4.891,52315.4492,81.3573,c1355,32,,,,
DependencyAware (single-gate non-blocking),0.5163,1.1443,0.0397,0.556,5.8943,43373.0547,80.1101,c1355,32,,,,
SJF (single-gate non-blocking),0.3071,1.7269,0.0336,0.3407,4.8525,52713.0078,81.4116,c1355,32,,,,
FIFO (batch non-blocking),0.2167,0.536,0.0472,0.2639,3.4985,72336.7656,31.1961,c1355,32,,,,
fanin_priority (batch non-blocking),0.2202,0.5507,0.0519,0.2721,3.5558,71184.4844,32.1642,c1355,32,,,,
DependencyAware (batch non-blocking),0.2442,0.5194,0.1189,0.3631,4.0961,61773.332,42.0657,c1355,32,,,,
SJF (batch non-blocking),0.2236,0.5391,0.0519,0.2755,3.6077,70439.8672,31.618,c1355,32,,,,
level-level task execution,0.0096,0.016,0.0163,0.0259,0.1788,1425939.25,61.5924,c1355,32,,,,
FIFO (batch blocking),6.2824,17.6568,0.0281,6.3105,83.5587,14707.0059,0.6813,c5315,128,,,,
fanin_priority (batch blocking),5.5605,35.044,0.0262,5.5868,85.3258,14462.6387,0.7174,c5315,128,,,,
DependencyAware (batch blocking),11.0924,48.0812,0.0316,11.124,108.4076,11491.6104,0.5801,c5315,128,,,,
SJF (batch blocking),6.1457,36.7114,0.029,6.1747,87.1804,14177.2324,0.742,c5315,128,,,,
FIFO (single-gate non-blocking),7.459,14.305,0.1204,7.5794,93.5366,13212.8418,76.7689,c5315,128,,,,
fanin_priority (single-gate non-blocking),3.5997,78.8584,0.1253,3.725,97.2139,12823.8848,76.8851,c5315,128,,,,
DependencyAware (single-gate non-blocking),19.7259,101.5762,0.1757,19.9016,137.8872,8957.6133,76.2947,c5315,128,,,,
SJF (single-gate non-blocking),5.9427,61.9146,0.1235,6.0663,95.8152,12920.1514,76.917,c5315,128,,,,
FIFO (batch non-blocking),5.3405,13.2082,1.2097,6.5503,87.1936,14132.8252,43.043,c5315,128,,,,
fanin_priority (batch non-blocking),5.4153,13.1829,1.2372,6.6525,87.6625,14103.2207,42.9574,c5315,128,,,,
DependencyAware (batch non-blocking),6.8331,17.1648,2.4944,9.3275,99.0204,12430.1816,50.7882,c5315,128,,,,
SJF (batch non-blocking),5.1369,12.3286,1.1726,6.3095,84.0685,14594.5967,42.5549,c5315,128,,,,
level-level task execution,0.011,0.0123,0.0185,0.0294,0.2525,4858579,63.1628,c5315,128,,,,
FIFO (batch blocking),5.4327,16.7175,0.023,5.4557,75.7793,15388.4639,1.2043,balanced_0,32,0.9994,254.9609,829.0541,440.9834
fanin_priority (batch blocking),4.8634,55.1899,0.0216,4.885,76.338,15286.6748,1.188,balanced_0,32,0.9966,237.4019,2618.8677,316.7937
DependencyAware (batch blocking),12.0747,58.058,0.0245,12.0992,104.4622,11201.9883,0.9235,balanced_0,32,0.9993,531.9407,2871.624,826.9937
SJF (batch blocking),4.9918,32.3448,0.0218,5.0136,76.7266,15188.3457,1.2452,balanced_0,32,0.9996,240.4321,1738.5652,456.7824
FIFO (single-gate non-blocking),5.9989,17.7922,0.1124,6.1113,82.0669,14201.6387,76.9879,balanced_0,32,0.9993,119.1382,997.1483,198.4573
fanin_priority (single-gate non-blocking),4.1842,57.5213,0.1121,4.2963,82.2142,14198.0801,76.9228,balanced_0,32,0.9866,39.5043,1783.9158,46.7494
DependencyAware (single-gate non-blocking),14.2949,85.6976,0.154,14.4489,113.8864,10250.4678,76.3193,balanced_0,32,1,104.3288,995.3943,153.0001
SJF (single-gate non-blocking),4.9654,39.1748,0.1126,5.078,82.1198,14272.6221,76.9819,balanced_0,32,1,76.9077,1084.1707,123.7644
FIFO (batch non-blocking),3.7539,16.4725,1.6051,5.359,74.4953,15638.4922,69.6138,balanced_0,32,0.9991,55.2112,286.5446,108.2153
fanin_priority (batch non-blocking),3.7189,25.1915,1.5944,5.3133,74.4846,15567.9551,64.4326,balanced_0,32,0.9988,30.4554,116.6154,70.5874
DependencyAware (batch non-blocking),6.2235,26.6881,2.6119,8.8354,92.38,12656.4102,72.479,balanced_0,32,0.9995,8.9573,33.9138,18.7385
SJF (batch non-blocking),3.6205,16.549,1.7172,5.3377,76.2815,15305.1328,64.2052,balanced_0,32,0.999,28.2081,155.3932,49.6547
level-level task execution,0.0345,0.0578,0.0237,0.0582,0.3912,3002994.25,68.1099,balanced_0,32,0.9981,2.9023,4.9353,5.3647
FIFO (batch blocking),4.413,16.1871,0.0314,4.4444,74.8164,15578.1748,0.7551,balanced_0,512,0.9991,151.9641,420.7354,309.8829
fanin_priority (batch blocking),4.4409,15.9871,0.03,4.471,75.4445,15503.5439,0.7355,balanced_0,512,0.9991,157.6731,460.3624,320.8815
DependencyAware (batch blocking),5.9981,16.8624,0.0295,6.0276,84.1222,13775.9844,0.6162,balanced_0,512,0.9993,201.9879,485.7587,381.6986
SJF (batch blocking),4.3602,15.8379,0.0283,4.3885,74.3725,15618.6797,0.7137,balanced_0,512,0.999,163.9218,454.0455,333.7495
FIFO (single-gate non-blocking),5.991,17.5287,0.1131,6.104,82.4902,14176.9873,76.9654,balanced_0,512,0.9993,116.8643,985.4365,195.0361
fanin_priority (single-gate non-blocking),4.1545,58.2967,0.1143,4.2688,83.7679,13931.6816,76.8704,balanced_0,512,0.9864,38.9818,1611.9807,46.1492
DependencyAware (single-gate non-blocking),14.7114,88.9231,0.158,14.8695,117.5577,9982.9717,76.2584,balanced_0,512,1,104.3979,987.7452,153.9741
SJF (single-gate non-blocking),5.0747,39.9187,0.1142,5.1889,83.5804,13955.9434,76.8057,balanced_0,512,1,76.1061,1121.6501,123.1972
FIFO (batch non-blocking),4.4496,16.7643,0.0409,4.4904,75.4954,15425.2217,0.8987,balanced_0,512,0.9991,125.2218,333.8105,256.1904
fanin_priority (batch non-blocking),4.7175,16.8076,0.0768,4.7943,82.0053,14909.6895,1.3036,balanced_0,512,0.9989,78.829,185.4109,161.988
DependencyAware (batch non-blocking),4.5682,17.493,1.9222,6.4904,89.0308,13232.3457,14.8292,balanced_0,512,0.9993,11.5049,35.3342,23.8909
SJF (batch non-blocking),4.3832,16.2189,0.0736,4.4567,74.9434,15557.0254,1.3477,balanced_0,512,0.9991,76.1321,187.1446,156.2489
level-level task execution,0.0356,0.0587,0.0246,0.0602,0.3989,2934665.5,68.8908,balanced_0,512,0.9981,2.8945,4.8785,5.3669
FIFO (batch blocking),1.5893,4.9779,0.0199,1.6092,17.5622,32356.8535,2.4888,c2670,32,,,,
fanin_priority (batch blocking),1.632,11.9877,0.0192,1.6511,17.6488,32011.8184,2.2912,c2670,32,,,,
DependencyAware (batch blocking),3.8365,10.7113,0.02,3.8566,25.175,22513.3652,1.7184,c2670,32,,,,
SJF (batch blocking),1.5963,6.9369,0.0187,1.615,17.6738,32098.0117,2.4487,c2670,32,,,,
FIFO (single-gate non-blocking),1.9172,5.5916,0.0574,1.9746,19.8203,28510.1777,78.3374,c2670,32,,,,
fanin_priority (single-gate non-blocking),1.5339,19.093,0.058,1.5919,20.1015,28102.8164,78.3202,c2670,32,,,,
DependencyAware (single-gate non-blocking),5.003,22.7654,0.0837,5.0867,29.6073,19052.8418,77.2611,c2670,32,,,,
SJF (single-gate non-blocking),1.7393,11.9988,0.0579,1.7971,19.9697,28259.9277,78.4335,c2670,32,,,,
FIFO (batch non-blocking),1.0033,3.7667,0.5315,1.5347,16.7813,33611.1797,63.2025,c2670,32,,,,
fanin_priority (batch non-blocking),1.0724,3.9305,0.5971,1.6695,17.4689,32344.0938,58.2472,c2670,32,,,,
DependencyAware (batch non-blocking),1.6911,6.598,1.01,2.7012,21.2697,26526.8125,66.4504,c2670,32,,,,
SJF (batch non-blocking),1.0366,3.8999,0.5948,1.6314,17.3756,32483.6875,57.9584,c2670,32,,,,
level-level task execution,0.0094,0.0144,0.0185,0.0279,0.1665,3487657.25,61.6699,c2670,32,,,,
FIFO (batch blocking),6.9724,14.1766,0.0238,6.9961,88.6595,13910.4766,1.1465,c5315,32,,,,
fanin_priority (batch blocking),4.383,55.3018,0.0233,4.4063,88.0034,14066.4951,1.1535,c5315,32,,,,
DependencyAware (batch blocking),17.1251,85.0772,0.0233,17.1484,123.0653,10034.4961,0.787,c5315,32,,,,
SJF (batch blocking),5.7833,43.5494,0.0221,5.8054,87.0433,14170.373,1.0827,c5315,32,,,,
FIFO (single-gate non-blocking),7.5141,14.3905,0.1228,7.6369,95.2797,13006.4785,76.7354,c5315,32,,,,
fanin_priority (single-gate non-blocking),3.5625,76.6727,0.1216,3.6841,94.4284,13096.584,76.7912,c5315,32,,,,
DependencyAware (single-gate non-blocking),19.2306,99.2429,0.1714,19.4021,134.7556,9187.0254,76.2335,c5315,32,,,,
SJF (single-gate non-blocking),5.9014,60.7174,0.1222,6.0236,95.1382,13026.1416,76.7649,c5315,32,,,,
FIFO (batch non-blocking),4.7189,13.7275,2.12,6.8389,85.3929,14386.3262,68.7056,c5315,32,,,,
fanin_priority (batch non-blocking),3.7817,35.4373,1.9024,5.6841,85.0616,14465.3018,68.6649,c5315,32,,,,
DependencyAware (batch non-blocking),8.3537,43.9695,3.2253,11.579,103.4806,11871.9316,76.6446,c5315,32,,,,
SJF (batch non-blocking),4.3895,33.6431,1.8732,6.2628,86.7575,14167.1582,71.366,c5315,32,,,,
level-level task execution,0.0111,0.0132,0.0184,0.0295,0.254,4896110,61.8616,c5315,32,,,,
FIFO (batch blocking),7.8236,21.2199,0.0303,7.8539,117.8618,12461.5723,0.5025,c7552,128,,,,
fanin_priority (batch blocking),7.2714,21.5257,0.0301,7.3015,120.7662,12175.5762,0.5193,c7552,128,,,,
DependencyAware (batch blocking),10.8567,36.7955,0.0323,10.889,138.1847,10634.8936,0.4343,c7552,128,,,,
SJF (batch blocking),7.0535,20.4994,0.0285,7.082,117.3246,12536.9785,0.5017,c7552,128,,,,
FIFO (single-gate non-blocking),8.811,17.9694,0.1354,8.9464,126.4802,11621.3506,76.5974,c7552,128,,,,
fanin_priority (single-gate non-blocking),5.2623,128.6957,0.1429,5.4052,133.7329,11180.8936,76.5662,c7552,128,,,,
DependencyAware (single-gate non-blocking),19.7483,157.3131,0.1924,19.9407,180.8875,8227.7324,76.2544,c7552,128,,,,
SJF (single-gate non-blocking),7.2542,104.2694,0.1397,7.3939,131.0442,11303.5439,76.4333,c7552,128,,,,
FIFO (batch non-blocking),6.7182,16.7301,1.0604,7.7786,117.3848,12523.7871,35.5083,c7552,128,,,,
fanin_priority (batch non-blocking),6.5755,16.7724,1.1047,7.6802,118.5787,12401.1582,35.8916,c7552,128,,,,
DependencyAware (batch non-blocking),7.4194,16.6691,2.3713,9.7907,133.4325,11027.0654,43.4714,c7552,128,,,,
SJF (batch non-blocking),6.6545,16.5896,1.1045,7.7591,119.6493,12373.1582,35.6521,c7552,128,,,,
level-level task execution,0.0119,0.0202,0.0198,0.0318,0.2178,6837559,61.0589,c7552,128,,,,
FIFO (batch blocking),10.5471,24.8741,0.0376,10.5848,176.6326,10023.8545,0.3919,imbalanced_4,512,0.8917,282.6342,548.2341,544.4865
fanin_priority (batch blocking),10.4725,24.7547,0.0353,10.5078,174.7667,10159.6426,0.3671,imbalanced_4,512,0.8939,296.9936,560.548,571.6924
DependencyAware (batch blocking),12.4561,27.0742,0.0368,12.4929,195.8961,9053.252,0.3395,imbalanced_4,512,0.906,339.0303,615.1388,636.1562
SJF (batch blocking),10.0792,23.3694,0.0324,10.1115,168.9825,10443.8506,0.3524,imbalanced_4,512,0.8907,312.9168,597.8511,602.523
FIFO (single-gate non-blocking),12.1047,25.5435,0.1659,12.2706,187.0224,9554.4482,76.5157,imbalanced_4,512,0.8927,207.8156,1480.8834,373.7006
fanin_priority (single-gate non-blocking),6.6011,130.7881,0.1651,6.7662,186.7188,9523.3027,76.2693,imbalanced_4,512,0.9113,51.1315,6316.1187,59.6109
DependencyAware (single-gate non-blocking),25.0718,211.3073,0.221,25.2927,251.3855,7057.7266,75.9408,imbalanced_4,512,0.9997,130.614,2462.3828,188.6466
SJF (single-gate non-blocking),9.6783,150.5648,0.1629,9.8411,184.2814,9633.0879,76.3111,imbalanced_4,512,0.944,121.5503,6373.0127,232.6136
FIFO (batch non-blocking),9.9439,22.989,0.0436,9.9875,166.8753,10574.417,0.4468,imbalanced_4,512,0.8919,239.4593,437.7166,463.0005
fanin_priority (batch non-blocking),10.117,23.9773,0.0871,10.2041,170.1831,10396.2217,0.8553,imbalanced_4,512,0.8921,127.7802,217.2577,248.7183
DependencyAware (batch non-blocking),9.9626,23.1589,2.0722,12.0349,189.1759,9333.6631,11.8753,imbalanced_4,512,0.9055,12.476,61.8348,24.5566
SJF (batch non-blocking),10.1913,23.5729,0.0938,10.285,171.7269,10270.542,0.8364,imbalanced_4,512,0.8919,123.6591,209.7953,240.5398
level-level task execution,0.0427,0.056,0.0175,0.0602,0.3725,4777297,68.1859,imbalanced_4,512,0.9682,3.5956,4.6178,6.5164
FIFO (batch blocking),0.004,0.0072,0.0172,0.0212,0.1086,123532.4375,73.7998,c17,512,,,,
fanin_priority (batch blocking),0.0043,0.0071,0.0167,0.0209,0.1102,122520.4609,72.7243,c17,512,,,,
DependencyAware (batch blocking),0.0056,0.0074,0.0174,0.023,0.1135,118453.1016,70.346,c17,512,,,,
SJF (batch blocking),0.004,0.0066,0.0158,0.0198,0.1042,126635.7266,72.5743,c17,512,,,,
FIFO (single-gate non-blocking),0.0092,0.0397,0.0175,0.0266,0.1401,97319.5938,84.772,c17,512,,,,
fanin_priority (single-gate non-blocking),0.0104,0.0422,0.0176,0.0279,0.1461,93059.1719,85.3956,c17,512,,,,
DependencyAware (single-gate non-blocking),0.0115,0.0478,0.0172,0.0288,0.1403,96197.1953,83.6604,c17,512,,,,
SJF (single-gate non-blocking),0.0102,0.0421,0.0171,0.0274,0.1412,95144.9219,85.1387,c17,512,,,,
FIFO (batch non-blocking),0.0022,0.0054,0.0214,0.0236,0.1288,108403.3281,75.0059,c17,512,,,,
fanin_priority (batch non-blocking),0.0023,0.0057,0.0194,0.0217,0.1216,110117.5234,74.4915,c17,512,,,,
DependencyAware (batch non-blocking),0.0022,0.0055,0.0203,0.0224,0.1208,110133.7344,76.1294,c17,512,,,,
SJF (batch non-blocking),0.0024,0.0057,0.0192,0.0215,0.12,111644.9219,74.7313,c17,512,,,,
level-level task execution,0.0112,0.0209,0.0199,0.0311,0.1351,103751.375,60.0922,c17,512,,,,
FIFO (batch blocking),1.3282,3.857,0.0241,1.3524,17.2598,32741.6777,2.0173,c2670,128,,,,
fanin_priority (batch blocking),1.3849,3.9395,0.0231,1.408,17.2339,32730.1191,1.8763,c2670,128,,,,
DependencyAware (batch blocking),2.2605,6.7155,0.0242,2.2848,21.4231,26364.6133,1.5474,c2670,128,,,,
SJF (batch blocking),1.3989,3.9379,0.0226,1.4215,17.4178,32435.2402,1.8552,c2670,128,,,,
FIFO (single-gate non-blocking),1.9331,5.6492,0.0585,1.9916,20.1532,28033.7559,78.3084,c2670,128,,,,
fanin_priority (single-gate non-blocking),1.5839,19.4305,0.059,1.6428,20.4102,27779.832,78.3832,c2670,128,,,,
DependencyAware (single-gate non-blocking),4.9897,22.8574,0.084,5.0737,29.6743,19032.7324,77.3222,c2670,128,,,,
SJF (single-gate non-blocking),1.7933,12.1601,0.059,1.8522,20.3633,27841.9434,78.4636,c2670,128,,,,
FIFO (batch non-blocking),1.1128,4.59,0.225,1.3378,16.8796,33420.5195,24.3806,c2670,128,,,,
fanin_priority (batch non-blocking),1.146,4.6498,0.2448,1.3908,17.1704,32860.3359,25.0689,c2670,128,,,,
DependencyAware (batch non-blocking),1.3021,4.5666,0.8945,2.1967,20.764,27163.7305,38.6443,c2670,128,,,,
SJF (batch non-blocking),1.162,4.7299,0.25,1.412,17.4079,32426.4688,25.3242,c2670,128,,,,
level-level task execution,0.0105,0.0141,0.0169,0.0273,0.1567,3611163.5,61.639,c2670,128,,,,
FIFO (batch blocking),0.2369,0.5676,0.0188,0.2557,5.2121,54549.8867,7.4502,c1908,128,,,,
fanin_priority (batch blocking),0.2466,0.6356,0.0187,0.2654,5.3543,53454.4492,7.2401,c1908,128,,,,
DependencyAware (batch blocking),0.2727,0.5998,0.02,0.2926,5.6927,50175.5234,7.0796,c1908,128,,,,
SJF (batch blocking),0.2405,0.5687,0.0188,0.2593,5.2424,54337.582,7.2862,c1908,128,,,,
FIFO (single-gate non-blocking),0.3079,0.7616,0.0412,0.3491,6.5546,43811.6641,81.3224,c1908,128,,,,
fanin_priority (single-gate non-blocking),0.2119,2.4853,0.0405,0.2524,6.6834,42893.0742,79.9741,c1908,128,,,,
DependencyAware (single-gate non-blocking),0.471,1.8573,0.0467,0.5176,7.7487,36855.3086,79.8349,c1908,128,,,,
SJF (single-gate non-blocking),0.2662,2.2756,0.0414,0.3076,6.8238,41974.7383,80.0141,c1908,128,,,,
FIFO (batch non-blocking),0.243,0.5883,0.0255,0.2685,5.4438,52495.4297,9.1484,c1908,128,,,,
fanin_priority (batch non-blocking),0.2381,0.5783,0.0269,0.265,5.3671,53192.5391,9.6962,c1908,128,,,,
DependencyAware (batch non-blocking),0.2323,0.5477,0.0604,0.2926,5.7246,49851.8867,16.9407,c1908,128,,,,
SJF (batch non-blocking),0.2306,0.5611,0.0257,0.2563,5.2393,54467.5547,9.5041,c1908,128,,,,
level-level task execution,0.0142,0.023,0.026,0.0401,0.2459,1302079,62.4194,c1908,128,,,,
FIFO (batch blocking),0.2659,0.5585,0.0176,0.2835,3.6519,69586.7344,7.09,c1355,512,,,,
fanin_priority (batch blocking),0.2776,0.5577,0.0183,0.2958,3.7803,67377.3516,7.0792,c1355,512,,,,
DependencyAware (batch blocking),0.3482,0.6957,0.0191,0.3672,4.2771,59346.4922,6.1681,c1355,512,,,,
SJF (batch blocking),0.2719,0.5468,0.0178,0.2897,3.7037,68514.7109,6.9427,c1355,512,,,,
FIFO (single-gate non-blocking),0.3684,0.7474,0.0324,0.4008,4.6481,54467.5703,81.5694,c1355,512,,,,
fanin_priority (single-gate non-blocking),0.2873,2.0774,0.034,0.3213,4.9026,52095.3711,81.4919,c1355,512,,,,
DependencyAware (single-gate non-blocking),0.5238,1.1898,0.0399,0.5636,5.945,42951.6992,79.8355,c1355,512,,,,
SJF (single-gate non-blocking),0.3082,1.7639,0.0339,0.3422,4.9154,52040.793,81.3318,c1355,512,,,,
FIFO (batch non-blocking),0.2686,0.582,0.0225,0.2912,3.7095,68891.9062,7.9643,c1355,512,,,,
fanin_priority (batch non-blocking),0.262,0.5396,0.0268,0.2888,3.6956,68852.4766,9.183,c1355,512,,,,
DependencyAware (batch non-blocking),0.2555,0.5381,0.1028,0.3583,4.1662,60754.3125,21.9987,c1355,512,,,,
SJF (batch non-blocking),0.2605,0.5448,0.0261,0.2865,3.6614,69312.8047,9.1047,c1355,512,,,,
level-level task execution,0.0109,0.0165,0.0162,0.0271,0.1838,1431464,61.1035,c1355,512,,,,
FIFO (batch blocking),0.2977,1.041,0.0185,0.3162,5.4804,56054.707,6.6099,c880,512,,,,
fanin_priority (batch blocking),0.3022,1.0027,0.0178,0.3201,5.5863,55116.168,6.6226,c880,512,,,,
DependencyAware (batch blocking),0.3951,1.1231,0.0185,0.4136,6.2973,48912.3359,5.8709,c880,512,,,,
SJF (batch blocking),0.3038,1.0047,0.0177,0.3215,5.6473,54613.3633,6.6237,c880,512,,,,
FIFO (single-gate non-blocking),0.397,1.2649,0.0372,0.4342,6.6461,46206.9648,80.347,c880,512,,,,
fanin_priority (single-gate non-blocking),0.368,3.1793,0.0378,0.4058,6.8052,45128.1641,80.1913,c880,512,,,,
DependencyAware (single-gate non-blocking),0.9361,6.0292,0.0468,0.9829,8.6317,35570.8359,79.0074,c880,512,,,,
SJF (single-gate non-blocking),0.335,1.9326,0.0381,0.3731,6.8943,44688.8828,80.1837,c880,512,,,,
FIFO (batch non-blocking),0.2948,1.0096,0.0223,0.3171,5.6015,55089.7812,7.5778,c880,512,,,,
fanin_priority (batch non-blocking),0.3233,1.1467,0.0277,0.3509,6.2924,51693.2773,8.0868,c880,512,,,,
DependencyAware (batch non-blocking),0.2955,1.0178,0.1304,0.4259,6.3927,48455.8984,19.6304,c880,512,,,,
SJF (batch non-blocking),0.2935,1.0166,0.0262,0.3197,5.562,55294.1172,8.4158,c880,512,,,,
level-level task execution,0.0096,0.0132,0.0164,0.026,0.1573,1973352.25,63.6878,c880,512,,,,
FIFO (batch blocking),4.9104,16.8707,0.0287,4.9391,75.9438,15329.9453,0.7819,balanced_0,128,0.9991,170.6217,541.7448,323.2274
fanin_priority (batch blocking),4.7552,25.2151,0.0275,4.7828,75.6971,15382.958,0.7861,balanced_0,128,0.9987,176.307,955.1096,320.8775
DependencyAware (batch blocking),7.8981,27.9454,0.0297,7.9278,92.4654,12629.2754,0.6517,balanced_0,128,0.9995,260.7853,852.0047,459.7977
SJF (batch blocking),4.9118,16.926,0.0293,4.9411,76.5084,15209.458,0.8092,balanced_0,128,0.999,169.4987,550.6485,324.4531
FIFO (single-gate non-blocking),6.0955,17.9315,0.1151,6.2106,83.9366,13908.5391,77.0326,balanced_0,128,0.9993,116.275,928.4291,194.7389
fanin_priority (single-gate non-blocking),4.2244,57.8443,0.1148,4.3392,84.0839,13873.4326,76.873,balanced_0,128,0.9857,39.1686,1703.1299,46.2889
DependencyAware (single-gate non-blocking),14.8268,89.4674,0.1602,14.987,118.1442,9888.9258,76.3756,balanced_0,128,1,105.3248,1026.6082,154.1764
SJF (single-gate non-blocking),4.9656,39.8027,0.1136,5.0793,82.9153,14135.0918,76.7967,balanced_0,128,1,75.8942,1084.5536,123.3712
FIFO (batch non-blocking),3.9685,16.163,0.9102,4.8787,74.8747,15579.7842,11.9314,balanced_0,128,0.9991,114.7922,347.6568,233.8291
fanin_priority (batch non-blocking),3.8493,16.1112,0.9389,4.7882,75.1036,15514.0049,12.3112,balanced_0,128,0.9991,70.3167,180.4692,144.3563
DependencyAware (batch non-blocking),4.6373,15.9874,2.1773,6.8146,86.7417,13429.377,24.2334,balanced_0,128,0.9993,11.175,34.8883,23.1012
SJF (batch non-blocking),3.8868,16.2843,0.9464,4.8332,75.8967,15385.8809,12.3046,balanced_0,128,0.9991,69.1675,188.3318,141.8767
level-level task execution,0.0348,0.0584,0.0246,0.0594,0.3966,2954002,69.789,balanced_0,128,0.998,2.8948,4.9886,5.3555
FIFO (batch blocking),9.547,24.3196,0.0225,9.5696,154.2677,10518.5371,0.8499,imbalanced_3,32,0.9987,445.474,1164.9182,861.0477
fanin_priority (batch blocking),10.0047,132.9469,0.0225,10.0272,155.1539,10481.2295,0.8745,imbalanced_3,32,0.9966,467.6167,6906.5771,606.5629
DependencyAware (batch blocking),22.3505,140.5291,0.0252,22.3757,209.2496,7790.6123,0.6726,imbalanced_3,32,0.9991,971.4369,6493.9526,1747.2471
